Project,URL,Language,Created since (months),Updated since (months),Contributors,Orgs for Top15 contributors,Commit freq/week (last yr),Releases (last yr),Closed issues (last 90d),Updated issues (last 90d),Comment freq/issue (last 90d),Commit mentions,Criticality Score
klipper,https://github.com/KevinOConnor/klipper,C,55,0,172,4,14.2,2,363,442,4.3,36,0.60434
nodemcu-firmware,https://github.com/nodemcu/nodemcu-firmware,C,73,0,180,2,2.6,3,134,186,2.8,1244,0.60409
irssi,https://github.com/irssi/irssi,C,79,0,129,6,1.4,11,14,23,2.7,461,0.60287
uwsgi,https://github.com/unbit/uwsgi,C,111,1,329,5,0.6,13,8,47,1.4,859,0.60218
openvpn,https://github.com/OpenVPN/openvpn,C,104,1,150,4,5.7,10,3,3,2.0,3063,0.59962
borg,https://github.com/borgbackup/borg,C,67,0,226,1,4.1,7,267,370,2.6,550,0.59924
go-sqlite3,https://github.com/mattn/go-sqlite3,C,110,0,151,4,0.8,3,35,53,2.1,1400,0.59824
ultrajson,https://github.com/ultrajson/ultrajson,C,118,0,71,9,3.8,9,25,30,1.5,202,0.59653
yara,https://github.com/VirusTotal/yara,C,97,0,143,6,6.0,3,42,69,2.1,136,0.59466
stellar-core,https://github.com/stellar/stellar-core,C,73,0,90,3,14.9,31,134,182,1.5,93,0.59434
nDPI,https://github.com/ntop/nDPI,C,68,0,134,3,13.6,2,68,85,1.9,655,0.59414
TDengine,https://github.com/taosdata/TDengine,C,17,0,76,2,106.2,2,1234,1440,1.3,549,0.59189
nanopb,https://github.com/nanopb/nanopb,C,68,0,92,6,6.0,11,36,53,2.2,119,0.58973
honggfuzz,https://github.com/google/honggfuzz,C,67,0,57,6,8.9,6,5,10,1.3,2501,0.5895
capstone,https://github.com/aquynh/capstone,C,85,0,222,6,0.5,1,16,40,1.3,1786,0.58822
timescaledb,https://github.com/timescale/timescaledb,C,45,0,49,3,13.1,7,468,639,1.5,454,0.58791
xmake,https://github.com/xmake-io/xmake,C,68,0,39,5,31.2,9,129,146,6.0,9,0.58584
libfuse,https://github.com/libfuse/libfuse,C,60,0,143,3,1.2,5,29,30,1.5,3665,0.5848
dokany,https://github.com/dokan-dev/dokany,C,72,0,75,5,2.7,3,25,38,5.7,207,0.58404
json-c,https://github.com/json-c/json-c,C,121,2,125,7,4.2,1,12,21,1.8,1701,0.58292
hiredis,https://github.com/redis/hiredis,C,128,0,134,3,1.3,2,29,37,2.3,1264,0.58231
iperf,https://github.com/esnet/iperf,C,82,0,84,6,1.1,7,38,64,1.9,371,0.58179
i3,https://github.com/Airblader/i3,C,73,0,316,4,4.2,5,17,18,2.6,99,0.58092
libjpeg-turbo,https://github.com/libjpeg-turbo/libjpeg-turbo,C,65,0,33,7,1.1,3,39,48,2.2,2217,0.57945
mosquitto,https://github.com/eclipse/mosquitto,C,57,3,100,3,3.1,9,71,157,2.2,2284,0.57877
cleanflight,https://github.com/cleanflight/cleanflight,C,93,2,471,1,7.1,5,9,11,2.2,2411,0.57827
